                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                    grada                                       h2                                    gradr 
                                      10                  1.6449999999407801E+000                  1.2745891145034391E+000                  3.6318909976764986E+000                 -7.8399944948108429E+000                  3.5962644500501968E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999996400002E-001                  3.8890086325093814E-001                  1.0000000000000004E-005                  1.2504921571956387E-001 
                                      11                  1.6449999998996550E+000                  1.2745890274480194E+000                  3.6319009707869041E+000                 -7.8399247443582611E+000                  3.5963441854866756E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999993900002E-001                  3.8890254003473212E-001                  1.0000000000000004E-005                  1.2507416864260135E-001 
                                      12                  1.6449999998174050E+000                  1.2745888533649836E+000                  3.6319159328118951E+000                 -7.8398201483731347E+000                  3.5964637613912385E+000                  7.0000999999999991E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999988900001E-001                  3.8890505619791665E-001                  1.0000000000000006E-005                  1.2512407838811843E-001 
                                      13                  1.6449999997145925E+000                  1.2745886358132981E+000                  3.6319325605522694E+000                 -7.8397039723343012E+000                  3.5965965851712052E+000                  7.0000999999999991E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999982650001E-001                  3.8890785330486322E-001                  1.0000000000000004E-005                  1.2518647268250499E-001 
                                      14                  1.6449999996117801E+000                  1.2745884183194738E+000                  3.6319575067772694E+000                 -7.8395297888465514E+000                  3.5967957451037460E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999976400000E-001                  3.8891205102152221E-001                  1.0000000000000004E-005                  1.2524887545095159E-001 
                                      15                  1.6449999994061550E+000                  1.2745879835052729E+000                  3.6320074181546831E+000                 -7.8391817137935877E+000                  3.5971937927774729E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999963899999E-001                  3.8892045465225361E-001                  1.0000000000000004E-005                  1.2537370708748471E-001 
                                      16                  1.6449999989949051E+000                  1.2745871145696610E+000                  3.6321073165549156E+000                 -7.8384867289896398E+000                  3.5979888016723365E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999938899997E-001                  3.8893729454166132E-001                  1.0000000000000004E-005                  1.2562347234716684E-001 
                                      17                  1.6449999981724048E+000                  1.2745853794616566E+000                  3.6323407562942331E+000                 -7.8368710679431368E+000                  3.5998382118198000E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999888899993E-001                  3.8897673820622314E-001                  1.0000000000000004E-005                  1.2612342107023664E-001 
                                      18                  1.6449999961161548E+000                  1.2745810577086174E+000                  3.6326755656186429E+000                 -7.8345778296698994E+000                  3.6024667432667199E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999763899994E-001                  3.8903361584119484E-001                  1.0000000000000004E-005                  1.2737543249633557E-001 
                                      19                  1.6449999940599049E+000                  1.2745767585879073E+000                  3.6331795994407399E+000                 -7.8311693078230782E+000                  3.6063801039701420E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999638899995E-001                  3.8911969447017608E-001                  1.0000000000000004E-005                  1.2863050986163305E-001 
                                      20                  1.6449999899474048E+000                  1.2745682271868437E+000                  3.6341950699620718E+000                 -7.8244635495379056E+000                  3.6141032014684695E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999388899996E-001                  3.8929478501351328E-001                  1.0000000000000004E-005                  1.3114968982824285E-001 
                                      21                  1.6449999817224050E+000                  1.2745514243505054E+000                  3.6357526210521613E+000                 -7.8146048437493958E+000                  3.6255228624130584E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999998888899999E-001                  3.8956787047988167E-001                  1.0000000000000004E-005                  1.3621730603783969E-001 
                                      22                  1.6449999713007979E+000                  1.2745306092217223E+000                  3.6375248202274291E+000                 -7.8039599236901962E+000                  3.6379444870703699E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999998255367661E-001                  3.8988436448997765E-001                  1.0000000000000004E-005                  1.4268000988595381E-001 
                                      23                  1.6449999608791912E+000                  1.2745102952017142E+000                  3.6402244359000995E+000                 -7.7886735736884747E+000                  3.6559384515800830E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999997621835324E-001                  3.9037523650514261E-001                  1.0000000000000004E-005                  1.4916846052179425E-001 
                                      24                  1.6449999400359774E+000                  1.2744710642505328E+000                  3.6439352839854333E+000                 -7.7695013810568891E+000                  3.6788343840857864E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999996354770648E-001                  3.9106647725846289E-001                  1.0000000000000003E-005                  1.6211110644552568E-001 
                                      25                  1.6449999191927631E+000                  1.2744335175471313E+000                  3.6477379508739314E+000                 -7.7515605152480402E+000                  3.7005907937540932E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999995087705973E-001                  3.9175941231475536E-001                  1.0000000000000003E-005                  1.7481918571416127E-001 
                                      26                  1.6449998983495493E+000                  1.2743974811536014E+000                  3.6520561976845198E+000                 -7.7328449494188307E+000                  3.7236367197330411E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999993820641297E-001                  3.9248040358942837E-001                  1.0000000000000004E-005                  1.8700130936998746E-001 
                                      27                  1.6449998727129700E+000                  1.2743550153939498E+000                  3.6568954266407077E+000                 -7.7136049185246920E+000                  3.7477256631860842E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999992262186632E-001                  3.9314945307886895E-001                  1.0000000000000004E-005                  2.0093946857727846E-001 
                                      28                  1.6449998470763907E+000                  1.2743143782178410E+000                  3.6617710003327897E+000                 -7.6956538758502049E+000                  3.7705567169968579E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999990703731967E-001                  3.9361845572293830E-001                  1.0000000000000004E-005                  2.1359703010211095E-001 
                                      29                  1.6449998214398116E+000                  1.2742753757634264E+000                  3.6654377590515335E+000                 -7.6829457108210502E+000                  3.7869310943213876E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999989145277302E-001                  3.9382903547119125E-001                  1.0000000000000004E-005                  2.2504839105061356E-001 
                                      30                  1.6449998086215218E+000                  1.2742564331151331E+000                  3.6678758530302464E+000                 -7.6747973224190913E+000                  3.7975159432325651E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999988366049974E-001                  3.9391558215171868E-001                  1.0000000000000004E-005                  2.3034889624191288E-001 
                                      31                  1.6449997958032325E+000                  1.2742378401518815E+000                  3.6715515509854657E+000                 -7.6629244598329889E+000                  3.8130610773795941E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999987586822647E-001                  3.9398764345398668E-001                  1.0000000000000004E-005                  2.3537964665665978E-001 
                                      32                  1.6449997698267733E+000                  1.2742011703541118E+000                  3.6764485439279491E+000                 -7.6478282401953956E+000                  3.8330502962802520E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999986007706587E-001                  3.9402163363012160E-001                  1.0000000000000004E-005                  2.4502235708302095E-001 
                                      33                  1.6449997438503141E+000                  1.2741657444911130E+000                  3.6813067463971199E+000                 -7.6335709961582952E+000                  3.8521659158465247E+000                  7.0001000000000002E-001                  2.8000000000000003E-001                  1.9989999999999952E-002                  9.9999984428590527E-001                  3.9404947787606959E-001                  1.0000000000000003E-005                  2.5418669244137521E-001 
                                      34                  1.6449997178738549E+000                  1.2741314544687286E+000                  3.6861261156075997E+000                 -7.6200812527990154E+000                  3.8704811708124769E+000                  7.0001000000000002E-001                  2.8000000000000003E-001                  1.9989999999999952E-002                  9.9999982849474467E-001                  3.9410329524312626E-001                  1.0000000000000003E-005                  2.6317045608479250E-001 
                                      35                  1.6449996918973957E+000                  1.2740982054116132E+000                  3.6932894135352385E+000                 -7.6011519004787820E+000                  3.8965902662236331E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999981270358407E-001                  3.9415298200235704E-001                  1.0000000000000004E-005                  2.7243661696722871E-001 
                                      36                  1.6449996399444775E+000                  1.2740345221389970E+000                  3.7004519796465307E+000                 -7.5836916834186843E+000                  3.9212323868479406E+000                  7.0000999999999991E-001                  2.8000000000000003E-001                  1.9990000000000063E-002                  9.9999978112126287E-001                  3.9404559010946133E-001                  1.0000000000000004E-005                  2.9267912677183072E-001 
                                      37                  1.6449996139680183E+000                  1.2740039252984379E+000                  3.7052258471317021E+000                 -7.5727887763819206E+000                  3.9369207843734300E+000                  7.0000999999999991E-001                  2.8000000000000003E-001                  1.9990000000000063E-002                  9.9999976533010226E-001                  3.9382957137978369E-001                  1.0000000000000004E-005                  3.0432289370248394E-001 
                                      38                  1.6449995879915591E+000                  1.2739740807963034E+000                  3.7125145971324867E+000                 -7.5573097594032008E+000                  3.9597043659443707E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999974953894166E-001                  3.9326312899238863E-001                  1.0000000000000004E-005                  3.1802620436785567E-001 
                                      39                  1.6449995351190225E+000                  1.2739154442702247E+000                  3.7226253136240315E+000                 -7.5386346032550113E+000                  3.9885111970072527E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999971739758209E-001                  3.9201668890003105E-001                  1.0000000000000004E-005                  3.5109611313244715E-001 
                                      40                  1.6449994822464860E+000                  1.2738592534569726E+000                  3.7331948371937793E+000                 -7.5222002300053505E+000                  4.0155391027306280E+000                  7.0000999999481517E-001                  2.8000000000518493E-001                  1.9989999999999952E-002                  9.9999968525622251E-001                  3.9010923808013070E-001                  9.9999965433004610E-006                  3.9116655976072007E-001 
