                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                    grada                                       h2                                    gradr 
                                      36                  1.6449999997336682E+000                  3.6871454248595098E-001                  4.0526599881894150E+000                 -7.6516599980248534E+000                  4.3401684208775233E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999983809629E-001                  8.6509673340598919E-002                  5.9268461836670070E-011                  9.2742131177554867E+000 
                                      37                  1.6449999997202145E+000                  3.6870490765270103E-001                  4.0572571049915052E+000                 -7.6516497127505101E+000                  4.3519112773144508E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999982991761E-001                  8.6977966351863459E-002                  5.9268461836184347E-011                  9.8214557307097614E+000 
                                      38                  1.6449999997093709E+000                  3.6869714198191222E-001                  4.0611827952391071E+000                 -7.6514641490173325E+000                  4.3621315805233856E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999982332577E-001                  8.7476587575381459E-002                  5.9268461835698818E-011                  1.0228034914516645E+001 
                                      39                  1.6449999996985274E+000                  3.6868937921217071E-001                  4.0658615055470326E+000                 -7.6510711569307448E+000                  4.3744877198436170E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999981673393E-001                  8.8192851651939172E-002                  5.9268461835213482E-011                  1.0603534191940332E+001 
                                      40                  1.6449999996824629E+000                  3.6867788845043004E-001                  4.0722309671138071E+000                 -7.6501631169772688E+000                  4.3916027408302583E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999980696830E-001                  8.9387440079774977E-002                  5.9268461834886061E-011                  1.1105581996963725E+001 
                                      41                  1.6449999996599727E+000                  3.6866183345693421E-001                  4.0772434875934636E+000                 -7.6489958949350001E+000                  4.4053694415669673E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999979329646E-001                  9.0513786597193391E-002                  5.9268461834340781E-011                  1.1717908048283425E+001 
                                      42                  1.6449999996503339E+000                  3.6865497067019454E-001                  4.0821236833755208E+000                 -7.6477786395026461E+000                  4.4187139315980932E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999978743703E-001                  9.1785303700842508E-002                  5.9268461833795695E-011                  1.1946005518555257E+001 
                                      43                  1.6449999996278437E+000                  3.6863900106124114E-001                  4.0891472702604981E+000                 -7.6456401421489861E+000                  4.4379947387764878E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999977376519E-001                  9.3946979738555467E-002                  5.9268461833562262E-011                  1.2394462608751050E+001 
                                      44                  1.6449999996021407E+000                  3.6862083758664171E-001                  4.0950188161619971E+000                 -7.6435767677866000E+000                  4.4540418879035295E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999975814025E-001                  9.6065875018721894E-002                  5.9268461833235771E-011                  1.2786117661669547E+001 
                                      45                  1.6449999995860760E+000                  3.6860953807253821E-001                  4.1007690565355910E+000                 -7.6414326789446685E+000                  4.4695187467632200E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999974837461E-001                  9.8447047158722337E-002                  5.9268461832909461E-011                  1.2954727106204897E+001 
                                      46                  1.6449999995603732E+000                  3.6859154606603167E-001                  4.1059923383149384E+000                 -7.6393927201007248E+000                  4.4833337320925892E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999973274967E-001                  1.0091638838465705E-001                  5.9268461832501946E-011                  1.3104522534877985E+001 
                                      47                  1.6449999995475215E+000                  3.6858259138614674E-001                  4.1111651420114228E+000                 -7.6373375292893062E+000                  4.4967238615530958E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999972493714E-001                  1.0368093216692494E-001                  5.9268461832094611E-011                  1.3122203887718451E+001 
                                      48                  1.6449999995218187E+000                  3.6856476492891477E-001                  4.1180531565875453E+000                 -7.6346529867050075E+000                  4.5139612116243786E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999970931219E-001                  1.0789170975817740E-001                  5.9268461831891124E-011                  1.3039491140988240E+001 
                                      49                  1.6449999994961155E+000                  3.6854704614887346E-001                  4.1249844028371614E+000                 -7.6320523600285091E+000                  4.5305431022949616E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999969368725E-001                  1.1282027501599115E-001                  5.9268461831687832E-011                  1.2824022768849478E+001 
                                      50                  1.6449999994704125E+000                  3.6852943100514823E-001                  4.1337714904287450E+000                 -7.6289447598088262E+000                  4.5504210946103170E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999967806230E-001                  1.2024604045572913E-001                  5.9268461831484733E-011                  1.2469755924093390E+001 
                                      51                  1.6449999994318578E+000                  3.6850319270899223E-001                  4.1429824249592420E+000                 -7.6264169972978726E+000                  4.5694334563397341E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999965462483E-001                  1.2959996792760065E-001                  5.9268461831281893E-011                  1.1705582162455345E+001 
                                      52                  1.6449999994061546E+000                  3.6848579940626253E-001                  4.1506431761782396E+000                 -7.6246579465388340E+000                  4.5840682269620476E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999963899988E-001                  1.3869265363894126E-001                  5.9268461831079247E-011                  1.1049441003075160E+001 
                                      53                  1.6449999993804518E+000                  3.6846847433288255E-001                  4.1596917930918416E+000                 -7.6230916139060909E+000                  4.5999660318450317E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999962337494E-001                  1.5105397333749543E-001                  5.9268461830876781E-011                  1.0272995336967176E+001 
