                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                   17650                                     1578                  1.6450000000000000E+000                  2.0000000000000000E-002                  2.0895756075967410E+009                  1.1026016735357783E+002                  4.2554365962789916E+003                  2.2716758441404500E+002                  2.7767946771002869E+001                  1.9765900145963233E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8041342361075912E-001                  1.1494472093261923E-004                  1.1874265417339876E-002                  1.4069645228160428E-003                  2.1000774446375942E-003                  1.6450000000000000E+000                  0.0000000000000000E+000                  8.1362306912827653E-001                  5.2815190460548018E-004                  7.8941696471988931E-001                  1.0656655814399278E-002                  6.4449185325824165E-003                  1.1461378278205873E-002                  6.1402781751858596E-003                  4.6209811685565938E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6449973140519989E+000                  2.7668422087152138E+001                  1.6449965252735468E+000                  2.7644566778001082E+001                  1.1422634291597987E+006                  1.0069808589651484E+004                  7.2413500554804295E+007                  5.0174133036502875E+000                  1.8141274939166283E+000                  2.7900490134128675E+000                  2.2744821446892924E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  6.5943140427445880E+016 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.6450000000000000E+000                  1.4435437681553647E+000                  3.6289441458332470E+000                 -8.0266114245108415E+000                  3.4068063962023531E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       2                  1.6449999999991776E+000                  1.4435437673224898E+000                  3.6289442015251145E+000                 -8.0266110291390333E+000                  3.4068068416646784E+000                  6.9999998674339226E-001                  2.8000001316858369E-001                  2.0000000088024050E-002 
                                       3                  1.6449999999978879E+000                  1.4435437660166592E+000                  3.6289442695328842E+000                 -8.0266105463342825E+000                  3.4068073856371530E+000                  6.9999997055518204E-001                  2.8000002924930406E-001                  2.0000000195513845E-002 
                                       4                  1.6449999999965983E+000                  1.4435437647108318E+000                  3.6289443715446095E+000                 -8.0266098221284956E+000                  3.4068082015945929E+000                  6.9999994627286688E-001                  2.8000005337038447E-001                  2.0000000356748648E-002 
                                       5                  1.6449999999940192E+000                  1.4435437620991785E+000                  3.6289445510630927E+000                 -8.0266085198742765E+000                  3.4068096374967638E+000                  6.9999983776639318E-001                  2.8000016115440635E-001                  2.0000001079200525E-002 
                                       6                  1.6449999999897902E+000                  1.4435437578169379E+000                  3.6289447740847649E+000                 -8.0266069115464092E+000                  3.4068114213540941E+000                  6.9999972541655597E-001                  2.8000027275646672E-001                  2.0000001826977254E-002 
                                       7                  1.6449999999855611E+000                  1.4435437535347160E+000                  3.6289450676863111E+000                 -8.0266045399122099E+000                  3.4068137697342293E+000                  6.9999897590533011E-001                  2.8000101798527904E-001                  2.0000006109390789E-002 
                                       8                  1.6449999999786553E+000                  1.4435437465421554E+000                  3.6289454318685581E+000                 -8.0266016536394726E+000                  3.4068166826281314E+000                  6.9999817730587355E-001                  2.8000181242707239E-001                  2.0000010267054114E-002 
                                       9                  1.6449999999717499E+000                  1.4435437395496427E+000                  3.6289459061883020E+000                 -8.0265978717024069E+000                  3.4068204764094157E+000                  6.9999708337783961E-001                  2.8000289990903704E-001                  2.0000016713123348E-002 
                                      10                  1.6449999999606675E+000                  1.4435437283278780E+000                  3.6289464906476439E+000                 -8.0265931726816504E+000                  3.4068251510552954E+000                  6.9999564227515942E-001                  2.8000433650269940E-001                  2.0000021222141173E-002 
                                      11                  1.6449999999495852E+000                  1.4435437171062355E+000                  3.6289474737261509E+000                 -8.0265854794929599E+000                  3.4068330137970753E+000                  6.9999372495372247E-001                  2.8000621443599738E-001                  2.0000060610280146E-002 
                                      12                  1.6449999999233862E+000                  1.4435436905782595E+000                  3.6289488554379172E+000                 -8.0265737321978747E+000                  3.4068440644638240E+000                  6.9998878546095689E-001                  2.8001122122240241E-001                  1.9999993316640707E-002 
                                      13                  1.6449999998971869E+000                  1.4435436640509933E+000                  3.6289507001537351E+000                 -8.0265577106580093E+000                  3.4068588175400953E+000                  6.9998144970123022E-001                  2.8001840098341302E-001                  2.0000149315356763E-002 
                                      14                  1.6449999998534306E+000                  1.4435436197479057E+000                  3.6289530079303103E+000                 -8.0265349204113932E+000                  3.4068772726534076E+000                  6.9996586735131483E-001                  2.8003337221042951E-001                  2.0000760438255716E-002 
                                      15                  1.6449999998096738E+000                  1.4435435754471277E+000                  3.6289563652281505E+000                 -8.0264980439680560E+000                  3.4069041185948215E+000                  6.9993425465651415E-001                  2.8006459538080236E-001                  2.0001149962683540E-002 
                                      16                  1.6449999997261213E+000                  1.4435434908631157E+000                  3.6289607719787647E+000                 -8.0264511164622103E+000                  3.4069393538282742E+000                  6.9989576321100533E-001                  2.8010462391610547E-001                  1.9999612872889205E-002 
                                      17                  1.6449999996425688E+000                  1.4435434062881933E+000                  3.6289670139606662E+000                 -8.0263503637553413E+000                  3.4069892569387021E+000                  6.9976159679679406E-001                  2.8023454444803797E-001                  2.0003858755167969E-002 
                                      18                  1.6449999994894307E+000                  1.4435432513113668E+000                  3.6289750922717867E+000                 -8.0262338523253192E+000                  3.4070538229348335E+000                  6.9962030244711104E-001                  2.8037251311198508E-001                  2.0007184440903880E-002 
                                      19                  1.6449999993362923E+000                  1.4435430963759448E+000                  3.6289864733014316E+000                 -8.0260252141246760E+000                  3.4071447690676093E+000                  6.9931441368364877E-001                  2.8067982797280477E-001                  2.0005758343546454E-002 
                                      20                  1.6449999990579403E+000                  1.4435428148919418E+000                  3.6290011557881341E+000                 -8.0256920417503732E+000                  3.4072620789778494E+000                  6.9877027087678545E-001                  2.8121873685223520E-001                  2.0010992270979355E-002 
                                      21                  1.6449999987795878E+000                  1.4435425336232510E+000                  3.6290220674319729E+000                 -8.0251085894058569E+000                  3.4074291088867699E+000                  6.9773935926917496E-001                  2.8223846575123335E-001                  2.0022174979591689E-002 
