                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                   17750                                     1521                  1.6450000000000000E+000                  2.0000000000000000E-002                  2.0896049282809432E+009                  6.0455444377655317E+002                  4.5722048671631583E+003                  9.7149681969912280E+001                  1.5729979796211808E+001                  1.9778324920914784E+001                  0.0000000000000000E+000                  1.8012921883547825E-058                  9.8041342361075912E-001                  1.1494472093261923E-004                  1.1874265417339873E-002                  1.4069645228160432E-003                  2.1000774446375942E-003                  1.6450000000000000E+000                  0.0000000000000000E+000                  8.1362372930914539E-001                  5.2592560239393281E-004                  7.8941722419116855E-001                  1.0657423104319979E-002                  6.4452345566819603E-003                  1.1461509223789359E-002                  6.1403705656451315E-003                  4.6209811685564556E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6449995703097617E+000                  1.5698617596067050E+001                  1.6449994257278664E+000                  1.5689914074797711E+001                  4.8701559427262965E+005                  4.1566340941077113E+004                  1.6932633917519817E+008                  3.2359131676294406E+000                  3.1628614002993443E+000                  5.5992536754968632E-002                  4.6302594693835679E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  6.5944065733995568E+016 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.6450000000000000E+000                  1.1967281648102315E+000                  3.6601258002296539E+000                 -7.8084308850386357E+000                  3.6561816586961791E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       2                  1.6449999999991776E+000                  1.1967281620379024E+000                  3.6601261047820133E+000                 -7.8084287475552419E+000                  3.6561840948075779E+000                  6.9999998674339226E-001                  2.8000001316858369E-001                  2.0000000088024050E-002 
                                       3                  1.6449999999978879E+000                  1.1967281576912852E+000                  3.6601264766848369E+000                 -7.8084261374022965E+000                  3.6561870696289134E+000                  6.9999997055518204E-001                  2.8000002924930406E-001                  2.0000000195513845E-002 
                                       4                  1.6449999999965983E+000                  1.1967281533446941E+000                  3.6601270345402952E+000                 -7.8084222222122293E+000                  3.6561915318228930E+000                  6.9999994627286688E-001                  2.8000005337038447E-001                  2.0000000356748648E-002 
                                       5                  1.6449999999940192E+000                  1.1967281446515905E+000                  3.6601280162480059E+000                 -7.8084153046383307E+000                  3.6561993841933838E+000                  6.9999983776639318E-001                  2.8000016115440635E-001                  2.0000001079200525E-002 
                                       6                  1.6449999999897902E+000                  1.1967281303979913E+000                  3.6601292358625401E+000                 -7.8084067204320284E+000                  3.6562091392298086E+000                  6.9999972541655597E-001                  2.8000027275646672E-001                  2.0000001826977254E-002 
                                       7                  1.6449999999855611E+000                  1.1967281161446728E+000                  3.6601308414578773E+000                 -7.8083951656097872E+000                  3.6562219810913534E+000                  6.9999897590533011E-001                  2.8000101798527904E-001                  2.0000006109390789E-002 
                                       8                  1.6449999999786553E+000                  1.1967280928705291E+000                  3.6601328330509459E+000                 -7.8083808891191584E+000                  3.6562379095063271E+000                  6.9999817730587355E-001                  2.8000181242707239E-001                  2.0000010267054114E-002 
                                       9                  1.6449999999717499E+000                  1.1967280695971461E+000                  3.6601354269717183E+000                 -7.8083622732123557E+000                  3.6562586541159763E+000                  6.9999708337783961E-001                  2.8000289990903704E-001                  2.0000016713123348E-002 
                                      10                  1.6449999999606675E+000                  1.1967280322486986E+000                  3.6601386232628905E+000                 -7.8083392971741281E+000                  3.6562842142355398E+000                  6.9999564227515942E-001                  2.8000433650269940E-001                  2.0000021222141173E-002 
