                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                      50                                      436                  1.5000000000000000E+001                  2.0000000000000000E-002                  4.5497190750010674E-001                  7.5836984583351114E-002                  3.7982506294520485E+003                  2.1715207306265598E+004                  3.4077960042809769E+002                 -1.2919950947528918E+001                  7.0000000000000018E-001                  2.9797635251138614E-005                  2.7997020236474890E-001                  3.4416106108120410E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  1.5000000000000000E+001                  0.0000000000000000E+000                  1.0499999999999995E+001                  4.4696452876707803E-004                  4.1995530354712294E+000                  5.1624159162180411E-002                  1.5122378202549063E-002                  1.4040669913709961E-001                  3.1491899245464722E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4998244236045311E+001                  3.3923101604421498E+002                  1.4997894424463704E+001                  3.3896543239229146E+002                  1.6262912524855427E+007                  7.1371444725099047E+002                  6.9076015662406199E+006                  1.8391236923406783E-022                  1.8391236923406783E-022                  0.0000000000000000E+000                  7.3577117894889643E-024                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.4358071695394944E+007 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.5000000000000000E+001                  2.5324735893614636E+000                  3.5795836187969061E+000                 -8.5731171625770806E+000                  2.8111249624909194E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       2                  1.4999999999992500E+001                  2.5324735893470032E+000                  3.5795836194237629E+000                 -8.5731171581911436E+000                  2.8111249675037362E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       3                  1.4999999999984999E+001                  2.5324735893325401E+000                  3.5795836294801480E+000                 -8.5731170878294218E+000                  2.8111250479221881E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       4                  1.4999999999751861E+001                  2.5324735888829966E+000                  3.5795836635805083E+000                 -8.5731168492389056E+000                  2.8111253206142424E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002 
                                       5                  1.4999999999169015E+001                  2.5324735877591338E+000                  3.5795837366527725E+000                 -8.5731163379741524E+000                  2.8111259049537844E+000                  7.0000000000000007E-001                  2.7999999999999992E-001                  2.0000000000000018E-002 
                                       6                  1.4999999998003322E+001                  2.5324735855114149E+000                  3.5795838779260549E+000                 -8.5731153495314167E+000                  2.8111270346746853E+000                  7.0000000000000029E-001                  2.7999999999999980E-001                  1.9999999999999907E-002 
                                       7                  1.4999999995788507E+001                  2.5324735812407555E+000                  3.5795841458590072E+000                 -8.5731134749075153E+000                  2.8111291772408200E+000                  7.0000000000000040E-001                  2.7999999999999975E-001                  1.9999999999999796E-002 
                                       8                  1.4999999991592015E+001                  2.5324735731490189E+000                  3.5795846719851028E+000                 -8.5731097938615672E+000                  2.8111333844311570E+000                  7.0000000000000040E-001                  2.7999999999999969E-001                  1.9999999999999907E-002 
                                       9                  1.4999999983199029E+001                  2.5324735569656771E+000                  3.5795857242501290E+000                 -8.5731024319038003E+000                  2.8111417986908145E+000                  7.0000000000000040E-001                  2.7999999999999969E-001                  1.9999999999999907E-002 
