                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                    grada                                    gradr 
                                      10                  8.6549999940168920E+000                  2.2350049391304783E+000                  3.6042927098385809E+000                 -8.4625119031798075E+000                  2.9464787025408805E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999930871086E-001                  3.9252976449917915E-001                  1.2505886880370937E-001 
                                      11                  8.6549999889821319E+000                  2.2350048803898468E+000                  3.6042964901822359E+000                 -8.4624854515590524E+000                  2.9465089283095502E+000                  6.9999999999999984E-001                  2.8000000000000014E-001                  2.0000000000000018E-002                  9.9999999872699386E-001                  3.9253024117135682E-001                  1.2506918926569885E-001 
                                      12                  8.6549999801906274E+000                  2.2350047778254125E+000                  3.6043030336839772E+000                 -8.4624396735644716E+000                  2.9465612390954612E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  9.9999999771122206E-001                  3.9253106630071810E-001                  1.2508721052933142E-001 
                                      13                  8.6549999650511982E+000                  2.2350046012225659E+000                  3.6043145484047492E+000                 -8.4623591411676120E+000                  2.9466532674086818E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.9999999596201028E-001                  3.9253251842993475E-001                  1.2511824428367171E-001 
                                      14                  8.6549999380829465E+000                  2.2350042866931821E+000                  3.6043354900673634E+000                 -8.4622127560489471E+000                  2.9468205601309201E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  9.9999999284609442E-001                  3.9253515982930909E-001                  1.2517352610436613E-001 
                                      15                  8.6549998884835517E+000                  2.2350037084110528E+000                  3.6043735157220707E+000                 -8.4619472099058637E+000                  2.9471240705511157E+000                  6.9999999999999996E-001                  2.8000000000000019E-001                  1.9999999999999796E-002                  9.9999998711537275E-001                  3.9253995748988679E-001                  1.2527520117492508E-001 
                                      16                  8.6549997990956982E+000                  2.2350026668642884E+000                  3.6044417558482262E+000                 -8.4614714994548397E+000                  2.9476679125032121E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.9999997678748676E-001                  3.9254857187148662E-001                  1.2545844606005482E-001 
                                      17                  8.6549996392000157E+000                  2.2350008057817066E+000                  3.6045640087686897E+000                 -8.4606219214785661E+000                  2.9486395537587042E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999995831311561E-001                  3.9256401903500382E-001                  1.2578625110137218E-001 
                                      18                  8.6549993529494920E+000                  2.2349974804620483E+000                  3.6047737797237223E+000                 -8.4591721419324539E+000                  2.9502987938062200E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999992523968717E-001                  3.9259056621017996E-001                  1.2637315739325689E-001 
                                      19                  8.6549988750426472E+000                  2.2349919470390534E+000                  3.6051155518652598E+000                 -8.4568314460351246E+000                  2.9529807954819893E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.9999987002225843E-001                  3.9263391790723867E-001                  1.2735316465882004E-001 
